[0] losses: [ 1.497 -0.419 19.972 20.375 -3.78 ]
[5] losses: [-4.296 -3.288  0.728  0.731 -4.017]
[1455] losses: [ 6.328 -3.938  0.036  0.033 -4.922]
[1460] losses: [ 5.905  5.116  0.031  0.032 -2.787]
[1465] losses: [ 6.387  1.777  0.036  0.037 -4.316]
[1470] losses: [ 6.058 -1.71   0.033  0.034 -3.383]
[1475] losses: [ 6.318  3.319  0.035  0.037 -2.932]
[1480] losses: [ 6.159 -2.51   0.033  0.034 -5.126]
[1485] losses: [ 6.304 -3.657  0.036  0.039 -4.554]
[1490] losses: [ 6.492 -0.359  0.034  0.036 -5.293]
[1495] losses: [ 6.403 -2.675  0.032  0.033 -4.042]
[1500] losses: [ 6.326  1.863  0.035  0.036 -4.253]
[1505] losses: [ 6.082  4.958  0.034  0.033 -4.21 ]
[1510] losses: [ 6.155 -5.362  0.031  0.033 -4.943]
[1515] losses: [ 6.18  -6.239  0.037  0.04  -3.669]
[1520] losses: [ 6.168  3.18   0.035  0.036 -4.93 ]
[1525] losses: [ 6.339  5.932  0.047  0.048 -3.08 ]
[1530] losses: [ 6.291 -0.129  0.032  0.031 -4.096]
[1535] losses: [ 6.349 -0.219  0.035  0.036 -4.757]
[1540] losses: [ 6.164 -2.22   0.034  0.033 -3.828]
[1545] losses: [ 5.861  3.239  0.033  0.035 -3.795]
[1550] losses: [ 5.56   1.812  0.033  0.033 -3.168]
[1555] losses: [ 5.581  0.183  0.032  0.032 -4.143]
[1560] losses: [ 6.328  3.143  0.038  0.038 -3.78 ]
[1565] losses: [ 5.367  4.969  0.033  0.033 -3.077]
[1570] losses: [ 5.453  1.727  0.053  0.054 -3.882]
[1575] losses: [ 6.023  5.563  0.039  0.04  -3.417]
[1580] losses: [ 5.724  2.559  0.032  0.035 -3.8  ]
[1585] losses: [ 6.375  1.33   0.036  0.036 -4.085]
[1590] losses: [ 5.795  1.326  0.033  0.036 -3.533]
[1595] losses: [ 5.813 -3.851  0.034  0.035 -4.245]
[1600] losses: [ 5.854  1.095  0.038  0.039 -3.642]
[1605] losses: [ 5.47   2.745  0.032  0.034 -2.103]
[1610] losses: [ 6.105 -2.96   0.036  0.037 -4.027]
[1615] losses: [ 5.634  6.335  0.036  0.037 -3.339]
[1620] losses: [ 5.481  8.364  0.033  0.036 -3.132]
[1625] losses: [ 5.168  2.715  0.032  0.033 -4.376]
[1630] losses: [ 5.202 -0.672  0.037  0.04  -3.735]
[1635] losses: [ 5.596  3.689  0.036  0.035 -4.222]
[1640] losses: [ 6.378 -3.859  0.039  0.04  -4.549]
[1645] losses: [ 6.29  -0.976  0.04   0.04  -4.115]
[1650] losses: [ 5.157 -4.743  0.03   0.029 -3.674]
[1655] losses: [ 5.984  2.83   0.036  0.039 -4.196]
[1660] losses: [ 5.508 -1.553  0.035  0.037 -4.337]
[1665] losses: [ 6.017 -1.5    0.044  0.042 -4.431]
[1670] losses: [ 5.451 -1.778  0.033  0.033 -3.604]
[1675] losses: [ 5.794 -3.972  0.042  0.044 -4.957]
[1680] losses: [ 6.017  0.149  0.039  0.041 -4.044]
[1685] losses: [ 5.171  1.229  0.032  0.032 -3.262]
[1690] losses: [ 5.802 -3.13   0.035  0.036 -4.325]
[1695] losses: [ 5.901 -1.852  0.048  0.051 -3.211]
[1700] losses: [ 5.638  1.024  0.039  0.039 -4.554]
[1705] losses: [ 5.595 -1.363  0.036  0.037 -2.74 ]
[1710] losses: [ 5.531  1.216  0.038  0.037 -3.665]
[1715] losses: [ 5.308 -1.27   0.035  0.038 -3.85 ]
[1720] losses: [ 5.78  -6.857  0.038  0.039 -3.688]
[1725] losses: [ 5.884 -2.284  0.043  0.046 -3.335]
[1730] losses: [ 5.62  -0.39   0.039  0.04  -3.194]
[1735] losses: [ 5.414  1.534  0.061  0.064 -3.719]
[1740] losses: [ 5.78   3.912  0.041  0.044 -4.277]
[1745] losses: [ 5.726 -0.892  0.04   0.043 -5.123]
[1750] losses: [ 4.917  0.787  0.033  0.035 -4.575]
[1755] losses: [ 5.126 -3.133  0.071  0.079 -3.874]
[1760] losses: [ 5.483  0.028  0.036  0.039 -2.55 ]
[1765] losses: [ 5.346  2.481  0.037  0.036 -3.461]
[1770] losses: [ 5.407  2.292  0.039  0.04  -3.712]
[1775] losses: [ 5.367  1.063  0.036  0.037 -3.954]
[1780] losses: [ 5.133 -1.706  0.036  0.041 -5.102]
[1785] losses: [ 5.066  2.462  0.037  0.036 -3.929]
[1790] losses: [ 5.436  5.499  0.041  0.046 -4.281]
[1795] losses: [ 5.154 -2.064  0.034  0.033 -3.457]
[1800] losses: [ 5.197 -1.061  0.031  0.032 -3.462]
[1805] losses: [ 5.292 -3.506  0.037  0.04  -4.91 ]
[1810] losses: [ 5.328 -7.79   0.035  0.035 -3.938]
[1815] losses: [ 4.996 -4.45   0.033  0.035 -3.359]
[1820] losses: [ 4.777  0.339  0.032  0.032 -4.922]
[1825] losses: [ 5.662 -0.183  0.039  0.04  -3.079]
[1830] losses: [ 5.884  2.191  0.04   0.042 -4.497]
[1835] losses: [ 5.326  0.971  0.043  0.043 -3.928]
